kp,pos_idx,z_hand_max,z_osc_std,qacc_max,ok
10,0,0.8722,7e-05,538.95,False
10,1,0.7976,0.00213,1088.92,False
10,2,0.8568,0.00339,891.07,False
10,3,0.8063,0.00015,1535.98,False
10,4,0.8012,0.00255,1040.0,False
30,0,0.8718,0.00085,551.09,False
30,1,0.8405,0.00158,729.46,False
30,2,0.9817,0.01019,308.68,False
30,3,0.8085,0.00032,1594.01,False
30,4,0.8761,0.00982,700.35,False
50,0,0.8734,0.00076,439.75,False
50,1,0.9295,0.00898,729.46,False
50,2,1.0811,0.00459,228.25,False
50,3,0.8036,2e-05,1673.91,False
50,4,0.9169,0.01019,62.1,False
100,0,0.8742,0.00011,763.95,False
100,1,1.0326,0.00288,729.46,False
100,2,1.1998,0.00239,473.65,False
100,3,0.7965,0.00012,1753.21,False
100,4,1.0427,0.0077,60.02,False
150,0,0.8746,6e-05,527.31,False
150,1,1.0502,0.0001,1399.23,False
150,2,1.2096,0.00053,228.25,False
150,3,0.7921,8e-05,1796.86,False
150,4,1.0496,0.00321,60.5,False
200,0,0.875,4e-05,609.84,False
200,1,1.059,0.00037,729.46,False
200,2,1.2156,0.00041,228.25,False
200,3,0.7884,6e-05,1832.5,False
200,4,1.0448,0.00694,60.95,False
250,0,0.8783,0.00035,537.45,False
250,1,1.0657,0.0004,1105.43,False
250,2,1.22,0.00048,269.36,False
250,3,0.786,4e-05,1841.91,False
250,4,1.0344,0.00488,61.42,False
300,0,0.881,0.00039,491.76,False
300,1,1.0702,0.00046,729.46,False
300,2,1.2228,0.00049,228.25,False
300,3,0.7841,3e-05,1829.42,False
300,4,1.0288,0.00123,61.76,False
350,0,0.8829,0.00041,486.64,False
350,1,1.0732,0.00049,729.46,False
350,2,1.2247,0.00048,228.25,False
350,3,0.7829,2e-05,1894.94,False
350,4,1.0367,0.00232,61.99,False
400,0,0.8843,0.00041,490.81,False
400,1,1.0755,0.00049,729.46,False
400,2,1.2261,0.00046,228.25,False
400,3,0.7822,2e-05,1846.95,False
400,4,1.0445,0.00324,62.11,False
500,0,0.8865,0.00041,475.63,False
500,1,1.0785,0.00048,729.46,False
500,2,1.2281,0.00044,228.25,False
500,3,0.7809,1e-05,1840.39,False
500,4,1.0488,0.0011,62.64,False
