kp,pos_idx,hand_x_mean,x_osc_std,qacc_max,ok
10,0,0.3935,0.00037,103.76,True
10,1,0.3977,0.0,103.76,True
10,2,0.3616,9e-05,103.76,True
30,0,0.3971,3e-05,103.76,True
30,1,0.3978,0.0,103.76,True
30,2,0.3617,9e-05,103.76,True
50,0,0.3973,0.0,103.76,True
50,1,0.3978,0.0,103.76,True
50,2,0.3619,9e-05,103.76,True
100,0,0.3989,0.0,103.76,True
100,1,0.3978,0.0,103.76,True
100,2,0.3619,9e-05,103.76,True
150,0,0.399,0.0,103.76,True
150,1,0.3978,0.0,103.76,True
150,2,0.3619,0.0001,103.76,True
200,0,0.399,0.0,103.76,True
200,1,0.3978,0.0,103.76,True
200,2,0.3618,0.0001,103.76,True
300,0,0.399,1e-05,103.76,True
300,1,0.3978,0.0,103.76,True
300,2,0.3619,0.00011,103.76,True
400,0,0.399,2e-05,103.76,True
400,1,0.3979,0.0,103.76,True
400,2,0.3619,0.00011,103.76,True
