pitch,roll,elbow_p,elbow_yaw,hand_x,hand_z,x_osc,z_osc,qacc_max,stable,z_ok,x_ok,candidate
-3.0,-0.5,-1.0,0.0,0.0324,0.7098,0.0,2e-05,0.83,True,True,False,False
-3.0,-0.5,-1.0,0.5,-0.012,0.6722,0.0,2e-05,0.81,True,False,False,False
-3.0,-0.5,-1.0,1.0,-0.0429,0.6616,0.0,2e-05,0.81,True,False,False,False
-3.0,-0.5,-1.0,1.5,-0.0529,0.6806,0.0,1e-05,0.81,True,False,False,False
-3.0,-0.5,-1.0,2.0,-0.0396,0.7246,0.0,0.0,0.81,True,True,False,False
-3.0,-0.5,-0.5,0.0,0.0324,0.7099,1e-05,2e-05,0.83,True,True,False,False
-3.0,-0.5,-0.5,0.5,-0.0327,0.698,0.0,3e-05,0.81,True,True,False,False
-3.0,-0.5,-0.5,1.0,-0.0794,0.7067,0.0,3e-05,0.81,True,True,False,False
-3.0,-0.5,-0.5,1.5,-0.0962,0.7341,0.0,1e-05,0.81,True,True,False,False
-3.0,-0.5,-0.5,2.0,-0.0791,0.7736,0.0,0.0,0.81,True,True,False,False
-3.0,-0.5,0.0,0.0,0.0325,0.7099,0.0,3e-05,0.83,True,True,False,False
-3.0,-0.5,0.0,0.5,-0.0372,0.7288,0.0,3e-05,0.81,True,True,False,False
-3.0,-0.5,0.0,1.0,-0.0874,0.7609,0.0,3e-05,0.81,True,True,False,False
-3.0,-0.5,0.0,1.5,-0.1058,0.7984,0.0,2e-05,0.81,True,True,False,False
-3.0,-0.5,0.0,2.0,-0.0878,0.8323,0.0,0.0,0.81,True,True,False,False
-3.0,-0.5,0.5,0.0,0.0325,0.7099,0.0,3e-05,0.83,True,True,False,False
-3.0,-0.5,0.5,0.5,-0.0243,0.7571,0.0,3e-05,0.81,True,True,False,False
-3.0,-0.5,0.5,1.0,-0.0649,0.8108,0.0,4e-05,0.81,True,True,False,False
-3.0,-0.5,0.5,1.5,-0.0791,0.8578,0.0,2e-05,0.81,True,False,False,False
-3.0,-0.5,0.5,2.0,-0.0634,0.8865,0.0,0.0,0.81,True,False,False,False
-3.0,-0.5,1.0,0.0,0.0325,0.7098,0.0,3e-05,0.83,True,True,False,False
-3.0,-0.5,1.0,0.5,0.0028,0.7761,0.0,3e-05,0.83,True,True,False,False
-3.0,-0.5,1.0,1.0,-0.0172,0.8443,0.0,4e-05,0.81,True,True,False,False
-3.0,-0.5,1.0,1.5,-0.0226,0.8976,1e-05,3e-05,0.81,True,False,False,False
-3.0,-0.5,1.0,2.0,-0.0118,0.9229,0.0,1e-05,0.81,True,False,False,False
-3.0,-0.5,1.5,0.0,0.0325,0.7098,0.0,3e-05,0.83,True,True,False,False
-3.0,-0.5,1.5,0.5,0.0375,0.781,0.0,2e-05,0.84,True,True,False,False
-3.0,-0.5,1.5,1.0,0.0438,0.853,0.0,3e-05,0.81,True,False,False,False
-3.0,-0.5,1.5,1.5,0.05,0.9079,0.0,3e-05,0.81,True,False,False,False
-3.0,-0.5,1.5,2.0,0.0544,0.9323,0.0,1e-05,0.81,True,False,False,False
-3.0,-0.5,2.0,0.0,0.0325,0.7098,0.0,3e-05,0.83,True,True,False,False
-3.0,-0.5,2.0,0.5,0.0712,0.7706,0.0,2e-05,0.83,True,True,False,False
-3.0,-0.5,2.0,1.0,0.1033,0.8347,1e-05,3e-05,0.81,True,True,False,False
-3.0,-0.5,2.0,1.5,0.1206,0.8862,0.0,3e-05,0.81,True,False,False,False
-3.0,-0.5,2.0,2.0,0.1188,0.9124,0.0,1e-05,0.81,True,False,False,False
-3.0,0.0,-1.0,0.0,0.0563,0.8781,1e-05,3e-05,0.93,True,False,False,False
-3.0,0.0,-1.0,0.5,0.0094,0.824,0.0,3e-05,0.9,True,True,False,False
-3.0,0.0,-1.0,1.0,-0.0258,0.7839,0.0,3e-05,0.81,True,True,False,False
-3.0,0.0,-1.0,1.5,-0.0407,0.7675,0.0,2e-05,0.81,True,True,False,False
-3.0,0.0,-1.0,2.0,-0.032,0.7787,0.0,1e-05,0.81,True,True,False,False
-3.0,0.0,-0.5,0.0,0.0563,0.8782,1e-05,3e-05,0.93,True,False,False,False
-3.0,0.0,-0.5,0.5,-0.0109,0.8533,1e-05,3e-05,0.89,True,False,False,False
-3.0,0.0,-0.5,1.0,-0.0615,0.835,0.0,4e-05,0.81,True,True,False,False
-3.0,0.0,-0.5,1.5,-0.0831,0.8279,0.0,2e-05,0.81,True,True,False,False
-3.0,0.0,-0.5,2.0,-0.0706,0.8338,0.0,0.0,0.81,True,True,False,False
-3.0,0.0,0.0,0.0,0.0564,0.8782,0.0,3e-05,0.93,True,False,False,False
-3.0,0.0,0.0,0.5,-0.0147,0.8887,1e-05,4e-05,0.88,True,False,False,False
-3.0,0.0,0.0,1.0,-0.0684,0.897,1e-05,4e-05,0.81,True,False,False,False
-3.0,0.0,0.0,1.5,-0.0914,0.9014,0.0,2e-05,0.81,True,False,False,False
-3.0,0.0,0.0,2.0,-0.0781,0.9009,0.0,0.0,0.81,True,False,False,False
-3.0,0.0,0.5,0.0,0.0565,0.8782,0.0,3e-05,0.93,True,False,False,False
-3.0,0.0,0.5,0.5,-0.001,0.9215,0.0,3e-05,0.89,True,False,False,False
-3.0,0.0,0.5,1.0,-0.0446,0.9549,1e-05,4e-05,0.81,True,False,False,False
-3.0,0.0,0.5,1.5,-0.0633,0.9701,1e-05,2e-05,0.81,True,False,False,False
-3.0,0.0,0.5,2.0,-0.0525,0.9634,0.0,0.0,0.81,True,False,False,False
-3.0,0.0,1.0,0.0,0.0564,0.8782,0.0,3e-05,0.93,True,False,False,False
-3.0,0.0,1.0,0.5,0.0266,0.9438,0.0,3e-05,0.9,True,False,False,False
-3.0,0.0,1.0,1.0,0.004,0.9943,1e-05,3e-05,0.81,True,False,False,False
-3.0,0.0,1.0,1.5,-0.0056,1.0169,1e-05,2e-05,0.81,True,False,False,False
-3.0,0.0,1.0,2.0,0.0001,1.006,0.0,1e-05,0.81,True,False,False,False
-3.0,0.0,1.5,0.0,0.0564,0.8782,0.0,3e-05,0.94,True,False,False,False
-3.0,0.0,1.5,0.5,0.0616,0.9501,0.0,2e-05,0.9,True,False,False,False
-3.0,0.0,1.5,1.0,0.0657,1.0054,0.0,3e-05,0.81,True,False,False,False
-3.0,0.0,1.5,1.5,0.0676,1.0301,0.0,2e-05,0.81,True,False,False,False
